Old Number,New Number,Description
3055A,261-12,Bathroom
3055B,261-13,Bathroom
3056,261-01,Clerk
3057,261-15/16,Career CntrBoth
3058,261-02,Office
3059,261,Rec
3060,,Corr
3060A,NL,?
3060B,NL,?
3060C,NL,?
3061,261-03,-7
3062,261-04,-6
3063,261-05,-5
3064,261-06,-4
3065,261-07,Conf
3066,261-08,Conf
3067,261-09,-3
3068,261-10,-2
3069,261-11,-1
3070,262-12,Conf
3071,262-13,Prin. Lib.
3072,262-09,VP 3
3073,262-10,VP 2
3074,262-11,VP 1
3075,259,Health
3076,262-06,Off
3076A,262-07,Reception
3077,259-01,?
3080,259-07,Office
3081,259-06,Exam
3083,259-04,Cot
3084,259-05,I./ Bathroom
3085,259-03,I./ Bathroom
3086,259-02,Eye/ Ear
3087,258,Stor
3087A,257,?
3088,255,Team Tch
3089,253,CR
3090,251,CR
3091,,Corr?
3091A,NL,?
3091B,NL,?
3091C,256-01/02,Alcove
3092,249,CR
3094,252-01,I/ Bathroom
3095,252-02,Bathroom
3096,,Corr
3097,,Corr
3098,247,CR
3099,245,CR
3100,243,CR
3101,241,Tutor
3101A,239,Jan
3101B,237,Tutor
3102,,Corr
3103,248,Conf
3104,246,Off
3105,244,?
3106,240,Bathroom
3107,,Corr
3108,,Corr
3109,NL?,Corr?
3110,,Corridor
3111,218,T/ Girls' Bathroom
,220,Book Stor
3112,222,CR
3113,224,CR
3114,226,CR
3115,228,CR
3116,230,CR
3117,232,CR
3117A,234,Book Stor
3118,236,I/ Boys' Bathroom
3119,235,Science CR
3120,233,Lab
3121,231,Prep
3122,229,Lab
3123,227,Science CR
3124,225,Science CR
3125,223,Lab
3126,221,?
3127,219,Lab
3128,217,Science CR
3129,,Corr
4001,,Elevator Lobby
4002,301,CR
4003,303,CR
4004,305,CR
4005,307,CR
4006,309,CR
4007,311,CR
4008,313,CR
4009,,Corr
4010,312,Women
4011,310,FAC
4012,308,Off
4013,306,WK
4014,373,Prevoc
4015,371-01,F.I. W
4015A,371-01,F.I. M
4016,375,Fac Din
4017,,Corr
4018,,Stair Vest
4019,,Corr
4020,377,CR
4021,379,Sp Ed
4021A,381,Sp Ed
4022,380,Conference
4023,378,Liaison
4025,376,Sac.
4026,374,Sac.
4027,372,PS_
4028,304,Boys' Bathroom
4029,302,Jan/Stor
4031,,Corr
4031A,,Alcove
4032,370,Team Teach
4033,369,Lan. Lab
4033A,368,?
4034,366,Stor
4035,367,CR
4036,365,CR
4037,354-02,Mech
4037A,362-01,?
4038,364,I/ Bathroom
4039,363,CR
4040,361,Comm Rm
4041,360,MDF1
4042,358,Stor
4043,359,CR
4045,,Corr
4045A,,Alcove
4045B,,Alcove
4045C,,Alcove
4045D,,Acove
4045E,,Alcove
4046,354,Computer
4046A,,Stor
4047,356,I/ Bathroom
4048,355,Stor
4049,357,CR
4050,353,CR
4051,,Stor
4052,351,Team Tch
4052A,349,Sp Ed
4053,347,CR
4054,,Corr
4054A,350-01/02,FIFC
4054B,,Alcove
4055,346-02,I/Bathroom
