DeviceObj,Circuit,Location,Debug
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.6,4026,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.7,4027,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.8,4028,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.9,4029,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.10,4029,
telepole,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.11,375,
Uni Vent (UV) Room,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.14,377-01,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.25,4003,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.25,4004,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.26,4002,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.26,4032,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.27,4033,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.28,4035,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.28,4036,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.29,4039,
UV,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.30,4032,
Double Oven,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.31,4014,
Outlets above rm 369,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.32,Roof,
Double Oven,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.33,4014,
Dishwasher,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.34,4016,
Cooktop,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.35,4014,
Cooktop,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.37,4014,
Clothes Dryer,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.39,4014,
Cooktop,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.40,4016,
Clothes Dryer,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.41,4014,
Cooktop,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.42,4016,
Cooktop,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.43,4016,
Wall Oven,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.44,4016,
Cooktop,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.45,4016,
Wall Oven,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.46,4016,
Clothes Dryer,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.47,4016,
