path,type,voltage,room,description,devices,,dhb.1.l42csec2.38,circuit,277/480,4054,L2C via T2C
MSWB.5-DHB.2-T2BA.L2BAsec1.2,Circuit,120/208,4031,Outlets RM 4022,Outlets!#!#!4022,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.3,Circuit,120/208,4031,Outlets RM 4022,Outlets!#!#!4022,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.4,Circuit,120/208,4031,Outlets RM 4023,Outlets!#!#!4023,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.5,Circuit,120/208,4031,Outlets RM 4025,Outlets!#!#!4025,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.6,Circuit,120/208,4031,Outlets RM 4026,Outlets!#!#!4026,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.7,Circuit,120/208,4031,Outlets RM 4027,Outlets!#!#!4027,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.8,Circuit,120/208,4031,Outlets RM 4028,Outlets!#!#!4028,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.9,Circuit,120/208,4031,Outlets RM 4029,Outlets!#!#!4029,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.10,Circuit,120/208,4031,Outlets RM 4029,Outlets!#!#!4029,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.11,Circuit,120/208,4031,telepole Rm 375,telepole!#!#!375,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.12,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.13,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.14,Circuit,120/208,4031,Uni Vent (UV) Room 377-01,Uni Vent (UV) Room !#!#! 377-01,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.15,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.16,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.17,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.18,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.19,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.20,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.21,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.22,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.23,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.24,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.25,Circuit,120/208,4031,"Uni Vent (UV) Room 4003, 4004",UV!#!#!4003 |UV!#!#!4004,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.26,Circuit,120/208,4031,"Uni Vent (UV) Room 4002, 4032",UV!#!#!4002 | UV!#!#!4032,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.27,Circuit,120/208,4031,Uni Vent (UV) Room 4033,UV!#!#!4033,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.28,Circuit,120/208,4031,"Uni Vent (UV) Room 4035, 4036",UV!#!#!4035|UV!#!#!4036,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.29,Circuit,120/208,4031,Uni Vent (UV) Room 4039,UV!#!#!4039,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.30,Circuit,120/208,4031,Uni Vent (UV) Room 4032,UV!#!#!4032,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.30A,Circuit,120/208,4031,MAIN Breaker,MAIN,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.30B,Circuit,120/208,4031,MAIN Breaker,MAIN,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.30C,Circuit,120/208,4031,MAIN Breaker,MAIN,,,,,,
,,,,,,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2,Panel,120/208,4031,Main Panel - DHB>T2BA>L2BAsec2 | C4 RM4031A,Panel!#!#!4031,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.31,Circuit,120/208,4031,Double Oven 4014 | Rm 373,Double Oven!#!#!4014,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.32,Circuit,120/208,4031,Receptacle Roof above Rm 369,Outlets above rm 369!#!#!Roof,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.33,Circuit,120/208,4031,Double Oven 4014,Double Oven!#!#!4014,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.34,Circuit,120/208,4031,Dishwasher RM 4016 | Rm 375 | Outlets Rm 380,Dishwasher!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.35,Circuit,120/208,4031,Cooktop 4014 | Rm 373,Cooktop!#!#!4014,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.36,Circuit,120/208,4031,Blank,BLANK, ,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.37,Circuit,120/208,4031,Cooktop 4014 | Rm 373,Cooktop!#!#!4014,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.38,Circuit,120/208,4031,Blank,BLANK,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.39,Circuit,120/208,4031,Clothes Dryer Rm 4014,Clothes Dryer!#!#!4014,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.40,Circuit,120/208,4031,Cooktop 4016 | Rm 375,Cooktop!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.41,Circuit,120/208,4031,Clothes Dryer Rm 4014,Clothes Dryer!#!#!4014,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.42,Circuit,120/208,4031,Cooktop 4016 | Rm 375,Cooktop!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.43,Circuit,120/208,4031,Cooktop 4016 | Rm 375 | Disc  7-14 15,Cooktop!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.44,Circuit,120/208,4031,Wall Oven RM 4016 | Rm 375,Wall Oven!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.45,Circuit,120/208,4031,Cooktop 4016 | Above ceiling Rm 269,Cooktop!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.46,Circuit,120/208,4031,Wall Oven RM 4016 | Rm 375,Wall Oven!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.47,Circuit,120/208,4031,Clothes Dryer Rm 4016 | Rm 375,Clothes Dryer!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.48,Circuit,120/208,4031,Electric Range Rm 4016 | Rm 375,Electric Range!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.49,Circuit,120/208,4031,Clothes Dryer Rm 4016 | Rm 375,Clothes Dryer!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.50,Circuit,120/208,4031,Electric Range Rm 4016 | Rm 375,Electric Range!#!#!4016,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec2.51,Circuit,120/208,4031,Air Condenser Rm 4016 | Rm 375,Air Condenser!#!#!4016,,,,,,
