Referrer,Referrer Type,Location
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.15',Device,CC TV Dept.store room
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.16',Device,CC Power Room
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.13',Device,CC Sound Room aisle
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.14',Device,CC Exterior Wall
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.16',Device,CC Front Entry Wall
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.18',Device,CC Entry Pole
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.20',Device,CC Sound Room
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.22',Device,CC Men's bathroom
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.23',Device,CC Contactor Control
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec2.33',Device,CC catwalk type P
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec2.35',Device,CC main catwalk
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec2.39',Device,"CC Recording room, follow light pole (??)"
'Lobby evacuation fresh fan' on Circuit 'MSWB.7-DG.DG.3-L4G1sec1.L4G1sec1.20-TGD.TGD.LG1sec1.35',Device,roof
'Outlets (Center)' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.23',Device,Kitchen
'Outlets Audio Recording' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.2',Device,CC corr
'Outlets CUH's chair - 10' on Circuit 'MSWB.7-DG.DG.2-L4GC.L4GC.37A-TGC.TGC.LGCsec1.19',Device,??
'Outlets team' on Circuit 'MSWB.7-DG.DG.2-L4GC.L4GC.37A-TGC.TGC.LGCsec3.94',Device,1015a
'Outlets' on Circuit 'MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.4',Device,4059A
'Outlets' on Circuit 'MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.5',Device,4056A
'Outlets' on Circuit 'MSWB.5-DHB.DHB.10-T1BA.T1BA.L1BA.10',Device,3130
'Outlets' on Circuit 'MSWB.7-DG.DG.3-L4G1sec1.L4G1sec1.20-TGD.TGD.LG1sec1.8',Device,2002B
'Outlets' on Circuit 'MSWB.8-DL.DL.8-L42.L42.34-T2.T2.L2.12',Device,Lunch Room
'Outlets' on Circuit 'MSWB.8-DL.DL.9-L4GB.L4GB.23-TGB.TGB.LGBsec2.50',Device,Near outside AC Unit
'Outlets' on Circuit 'MSWB.8-DL.DL.9-L4GB.L4GB.23-TGB.TGB.LGBsec2.52',Device,AC-3
'Outlets' on Circuit 'MSWB.8-DL.DL.9-L4GB.L4GB.23-TGB.TGB.LGBsec2.56',Device,AC-2
'Outlets' on Circuit 'MSWB.8-DL.DL.9-L4GB.L4GB.23-TGB.TGB.LGBsec2.60',Device,AC-1
'Outlets' on Circuit 'MSWB.8-DL.DL.9-L4GB.L4GB.23-TGB.TGB.LGBsec2.64',Device,AC-4
'Outlets' on Circuit 'MSWB.8-DL.DL.10-L41C.L41C.22-T1C.T1C.L1C.7',Device,3078
'Outlets' on Circuit 'MSWB.8-DL.DL.10-L41C.L41C.22-T1C.T1C.L1C.35',Device,3093
'Outlets' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Left.26',Device,(North)  cafeteria
'Outlets' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Left.27',Device,(North) (??) cafeteria
'Outlets' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Right.43',Device,Mezzanine (Center)
'Outlets' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Right.45',Device,Kitchen (South)
'Outlets' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.6-TLGD.TLGD.LGD.3',Device,Kitchen-Counter
'Outlets' on Circuit 'MSWB.8-DL.DL.13-L41B.L41B.26-T1B.T1B.L1B.23',Device,3076B
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.7',Device,CC Coat Room
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.7',Device,Upper Studio Rec room
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.8',Device,CC Conference Room
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.8',Device,CC Practice Recording
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.12',Device,CC Instrument Room
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.17',Device,CC
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.24',Device,CC Audio Rec
'Outlets' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec2.42',Device,CC TV Office
'Pump Hot water' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Right.42',Device,Mechanical room
'Receptacle Kitchen' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.27',Device,130-05
'Receptacle' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.13',Device,Microwave / Steamer
'Receptacle' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.21',Device,Ice Machine
'Receptacle' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.26',Device,Kitchen Conference Room
'Receptacle' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.28',Device,Assist.Dir Office
'Receptacle' on Circuit 'MSWB.8-DL.DL.1-PK.PK.12-TK.TK.PKA.30',Device,Dir Office
'Storage' on Circuit 'MSWB.8-DL.DL.7-L41D.L41D.25-T1D.T1D.L1D.27',Device,272-01
'TV Office' on Circuit 'MSWB.6-DE.DE.5-TODE.TODE.ODE.10',Device,145
'Timeclock TC-8' on Circuit 'MSWB.8-DL.DL.14-L41.L41.19',Device,Science Wing
'Uni Vent (UV) Room' on Circuit 'MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.14',Device,377-01
'Water Cooler' on Circuit 'MSWB.5-DHB.DHB.3-T1A.T1A.L1A.2',Device,3008A
'cafeteria' on Circuit 'MSWB.6-DE.DE.3-LE1A.LE1A.8',Device,Sound amplifier
